,x,y,z,node,line_id,point_id,degree,cc,vol_cc,avg_PK_Of_element,element_connectivity,folder_name
314,7.592,36.92,2.0,203,151,2,1,67,0.31907,1.0,1.0,TCDD1nM4hr1_Subset
315,7.8,36.816,2.0,204,151,0,1,67,0.31907,1.0,1.0,TCDD1nM4hr1_Subset
316,7.072,36.712,2.0,205,64,10,1,66,1.4169,2.0,0.5,TCDD1nM4hr1_Subset
317,4.68,36.712,2.0,206,63,7,1,83,0.28122,1.0,1.0,TCDD1nM4hr1_Subset
318,5.824,36.608,2.0,207,149,26,1,41,2.1632,2.0,0.5,TCDD1nM4hr1_Subset
319,4.368,34.112,2.0,208,148,4,3,41,2.1632,2.0,0.5,TCDD1nM4hr1_Subset
320,4.368,34.112,2.0,208,149,4,3,41,2.1632,2.0,0.5,TCDD1nM4hr1_Subset
321,4.368,34.112,2.0,208,150,4,3,41,2.1632,2.0,0.5,TCDD1nM4hr1_Subset
322,4.056,33.696,2.0,209,148,0,1,41,2.1632,2.0,0.5,TCDD1nM4hr1_Subset
323,7.696,31.72,2.0,210,59,4,1,22,10.12918,2.0,0.5,TCDD1nM4hr1_Subset
324,4.1253,31.3733,2.0,211,58,4,3,19,12.67635,2.0,0.5,TCDD1nM4hr1_Subset
325,4.1253,31.3733,2.0,211,145,4,3,19,12.67635,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
326,4.1253,31.3733,2.0,211,147,4,3,19,12.67635,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
327,8.9787,31.2693,2.0,212,55,3,3,22,10.12918,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
328,8.9787,31.2693,2.0,212,143,3,3,22,10.12918,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
329,8.9787,31.2693,2.0,212,146,3,3,22,10.12918,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
330,9.048,30.888,2.0,213,57,2,3,22,10.12918,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
331,9.048,30.888,2.0,213,143,2,3,22,10.12918,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
332,9.048,30.888,2.0,213,144,2,3,22,10.12918,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
333,9.776,30.368,2.0,214,56,7,1,22,10.12918,2.0,0.5,TCDD1nM4hr1_Subset
334,7.8,30.264,2.0,215,142,0,1,22,10.12918,2.0,0.5,TCDD1nM4hr1_Subset
335,10.504,30.056,2.0,216,54,7,1,84,0.23795,1.0,1.0,TCDD1nM4hr1_Subset
336,3.8688,29.4736,1.9,217,139,5,1,19,12.67635,2.0,0.5,TCDD1nM4hr1_Subset
337,3.432,29.016,2.0,218,50,14,3,19,12.67635,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
338,3.432,29.016,2.0,218,139,14,3,19,12.67635,2.0,0.5,TCDD1nM4hr1_Subset
339,3.432,29.016,2.0,218,140,14,3,19,12.67635,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
340,4.472,28.912,2.0,219,133,11,3,53,1.9631,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
341,4.472,28.912,2.0,219,137,11,3,53,1.9631,2.0,0.5,TCDD1nM4hr1_Subset
342,4.472,28.912,2.0,219,138,11,3,53,1.9631,2.0,0.5,TCDD1nM4hr1_Subset
343,4.68,28.704,2.0,220,137,0,1,53,1.9631,2.0,0.5,TCDD1nM4hr1_Subset
344,8.736,28.184,2.0,221,49,7,1,85,0.28662,1.0,1.0,TCDD1nM4hr1_Subset
345,4.888,28.08,2.0,222,52,3,3,53,1.9631,2.0,0.5,TCDD1nM4hr1_Subset
346,4.888,28.08,2.0,222,134,3,3,53,1.9631,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
347,4.888,28.08,2.0,222,135,3,3,53,1.9631,2.0,0.5,TCDD1nM4hr1_Subset
348,9.776,27.976,2.0,223,136,0,1,42,0.86528,2.0,0.5,TCDD1nM4hr1_Subset
349,5.408,27.872,2.0,224,135,0,1,53,1.9631,2.0,0.5,TCDD1nM4hr1_Subset
350,4.264,27.872,2.0,225,132,13,3,53,1.9631,2.0,0.5,TCDD1nM4hr1_Subset
351,4.264,27.872,2.0,225,133,13,3,53,1.9631,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
352,4.264,27.872,2.0,225,134,13,3,53,1.9631,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
353,4.784,26.624,2.0,226,132,0,1,53,1.9631,2.0,0.5,TCDD1nM4hr1_Subset
